"","job","children","age","income","marital","churn"
"1",1,0,68,28561.99,0,0
"2",1,1,27,21704.77,1,1
"3",1,4,50,9609.57,0,0
"4",1,1,48,18925.23,1,0
"5",1,0,83,40074.19,0,1
"6",1,3,83,22660.2,0,0
"7",1,0,79,11467.5,0,1
"8",1,2,30,26759.64,1,1
"9",1,2,49,58634.51,0,0
"10",1,1,86,50231.4,1,0
"11",1,7,23,22580.7,0,0
"12",1,2,56,18342.12,1,0
"13",1,0,83,83671.08,0,0
"14",1,5,29,115114.57,0,0
"15",1,1,30,64256.81,0,1
"16",1,3,39,89061.45,0,1
"17",1,0,63,31659.3,1,1
"18",1,2,60,44142.81,0,1
"19",1,3,61,39262.14,0,0
"20",1,3,23,19494.75,0,1
"21",1,4,38,39624.21,0,0
"22",1,3,30,45714.47,0,0
"23",1,3,52,27442.03,0,0
"24",1,2,68,79699.62,0,0
"25",1,3,75,28520.32,0,1
"26",1,1,77,12558.83,0,1
"27",1,1,47,8762.23,1,1
"28",1,0,70,43882.72,0,1
"29",1,3,20,10482.52,0,1
"30",1,4,69,33442.79,0,1
"31",1,9,45,43383.54,1,0
"32",1,0,40,21793.88,0,0
"33",1,6,82,51960.51,0,1
"34",1,5,74,25942.1,0,1
"35",1,4,69,11211.59,0,1
"36",1,1,52,8283.29,0,1
"37",1,2,26,10114.81,0,1
"38",1,1,25,36229.21,0,0
"39",1,1,66,25397.44,0,0
"40",1,1,72,50336.5,0,0
"41",1,3,21,38211.37,0,0
"42",1,3,55,52887.26,1,0
"43",1,4,41,12003.33,0,1
"44",1,4,32,24090.62,0,0
"45",1,0,22,15137.93,0,1
"46",1,2,44,54458.38,0,1
"47",1,2,23,132116.33,0,1
"48",1,3,43,37358.13,0,1
"49",1,1,86,26534.16,0,0
"50",1,2,84,76430.83,1,0
"51",1,2,62,4662.37,0,1
"52",1,5,68,43820.85,0,1
"53",1,1,59,38391.55,0,0
"54",1,0,31,44137.6,0,1
"55",1,0,51,14364.65,0,1
"56",1,1,58,62359.91,0,0
"57",1,1,73,82634.86,1,1
"58",1,1,33,15690.25,0,0
"59",1,1,58,14568.7,0,1
"60",1,0,49,29207.46,0,0
"61",1,1,26,55319.23,0,0
"62",1,1,25,81831.49,0,0
"63",1,0,42,100076.65,0,1
"64",1,1,81,69965.65,0,0
"65",1,1,43,34883.69,0,0
"66",1,2,63,45634.2,0,0
"67",1,3,70,10964.73,1,1
"68",1,1,78,22365.28,0,1
"69",1,0,48,52636.6,0,0
"70",1,1,63,19048.13,0,1
"71",1,4,60,42784.82,1,1
"72",1,0,87,77996.88,0,1
"73",1,3,54,47507.3,1,0
"74",1,3,35,7724.73,0,1
"75",1,1,70,1509.52,0,1
"76",1,2,67,81124.71,1,1
"77",1,4,46,11795.57,0,1
